3D Medical VLM,Github,Papers,Tasks,Used,Notes
Med3DVLM ,https://github.com/mirthai/med3dvlm,https://arxiv.org/abs/2503.20047,"Image-Text Retrieval (cross-modal search).
Radiology Report Generation (automated diagnostic reporting).
Visual Question Answering (VQA) – both open-ended and closed-ended.",Yes,"positions, depth and distance"
DeepTumorVQA,https://github.com/Schuture/DeepTumorVQA,https://arxiv.org/pdf/2505.18915,"1. Recognition Tasks (basic perception): Ensure the VLM can identify abnormalities and distinguish pathologies: Organ recognition , Lesion recognition, Lesion counting (number of lesions in an organ/segment), Lesion type classification, Fatty liver recognition

2. Measurement Tasks (quantitative analysis): Evaluate precision in numerical quantification, crucial for diagnosis and staging: Organ volume measurement, HU (Hounsfield Unit) value measurement, Lesion volume measurement, Volume comparison

3. Visual Reasoning Tasks (spatial/structural reasoning): Test models’ ability to reason about spatial context in 3D anatomy.: Adjacency reasoning, Inter-segment comparison, Lesion distribution analysis

4. Medical Reasoning Tasks (clinical decision-making):  Assess higher-level diagnostic reasoning aligned with radiology practice: Tumor staging, Resectability assessment, Diagnosis-level reasoning

",No,Model N/A only dataset present
VILA-M3,https://github.com/Project-MONAI/VLM-Radiology-Agent-Framework,https://openaccess.thecvf.com/content/CVPR2025/papers/Nath_VILA-M3_Enhancing_Vision-Language_Models_with_Medical_Expert_Knowledge_CVPR_2025_paper,"Image segmentation

Abnormality classification

Medical report generation

Visual Question Answering (VQA)",No,Evaluation code available for 2D images and not 3D
FILA,https://github.com/alibaba-damo-academy/fvlm,https://openreview.net/pdf?id=nYpPAT4L3D,,No,Only pretrained weights are available. Head not available.
Merlin ,https://github.com/StanfordMIMI/Merlin,https://pmc.ncbi.nlm.nih.gov/articles/PMC11230513/,"Classification (findings, phenotypes)

Retrieval (cross-modal text–image alignment)

Prediction (long-term disease risk)

Generation (radiology reports)

Segmentation (organ-level voxel labeling)",,
RadFM,https://github.com/chaoyi-wu/RadFM,,,,
M3D,https://github.com/BAAI-DCAI/M3D,,,,
CT-CLIP,https://github.com/ibrahimethemhamamci/CT-CLIP,,,,
CT-CHAT,https://github.com/ibrahimethemhamamci/CT-CHAT,,,,
CT2Rep,https://github.com/ibrahimethemhamamci/CT2Rep,https://arxiv.org/abs/2403.06801,,,
3D-CT-GPT,,https://arxiv.org/pdf/2409.19330,,,
MedEvalKit,https://alibaba-damo-academy.github.io/lingshu/,,,,
Argus,https://github.com/cheliu-computation/Argus,https://aclanthology.org/2025.findings-acl.845.pdf,,,
Reg2RG,https://github.com/zhi-xuan-chen/Reg2RG,https://arxiv.org/pdf/2411.15539,,,
MedGemma,https://research.google/blog/next-generation-medical-image-interpretation-with-medgemma-15-and-medical-speech-to-text-with-medasr/,,,,
,,,,,
E3D-GPT,N/A,https://arxiv.org/pdf/2410.14200,"Report generation (language grounding from 3D imaging),

Visual question answering (VQA) (interactive diagnostic Q&A),

Disease diagnosis (classification/identification from 3D scans).",No,Code N/A
MS-VLM ,N/A,https://arxiv.org/pdf/2412.13558,"Radiology Report Generation (on CT-RATE chest CT dataset and in-house rectal MRI dataset).

And it additionally demonstrates:

Multi-plane, multi-phase interpretation for enhanced diagnostic reasoning.

Provides a foundation for future 3D medical VQA, though not the primary evaluated task here.",No,Code N/A
BrainMD,https://github.com/YuliWanghust/BrainMD,https://openreview.net/pdf?id=JrJW21IP9p,"Disease diagnosis (classification of brain tumor types).

Medical visual question answering (VQA) (about tumors, anatomy, and clinical context).

Report generation / interpretation tasks leveraging MRI and textual records.",No,"Pre-processing pipeline useful

Brain-specific so not fair for evaluating on full body"
