question_id,ctchat,m3d,med3dvlm,medevalkit,medgemma,merlin,radfm,vila_m3_vista3d
valid_1000_a_1.nii.gz::0,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
valid_1000_a_1.nii.gz::1,1.00,1.00,1.00,0.66,0.66,1.00,1.00,1.00
valid_1001_a_1.nii.gz::0,0.33,1.00,0.00,1.00,0.00,0.00,1.00,0.00
valid_1001_a_1.nii.gz::1,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
valid_1002_a_1.nii.gz::0,0.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00
valid_1002_a_1.nii.gz::1,0.00,0.00,0.00,0.00,0.33,0.00,0.00,0.00
valid_1002_a_1.nii.gz::2,0.00,0.00,0.00,0.66,0.33,0.00,0.00,0.00
valid_1003_a_1.nii.gz::0,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
valid_1003_a_1.nii.gz::1,1.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00
valid_1003_a_1.nii.gz::2,1.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00
valid_1003_a_1.nii.gz::3,1.00,0.00,1.00,0.00,0.00,1.00,1.00,1.00
valid_1004_a_1.nii.gz::0,1.00,1.00,0.00,1.00,0.00,1.00,0.00,0.00
valid_1004_a_1.nii.gz::1,1.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00
valid_1004_a_1.nii.gz::2,1.00,1.00,1.00,0.00,0.00,1.00,0.00,1.00
valid_1004_a_1.nii.gz::3,1.00,1.00,1.00,1.00,1.00,0.33,1.00,1.00
valid_1004_a_1.nii.gz::4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
valid_1004_a_1.nii.gz::5,1.00,1.00,0.66,1.00,1.00,1.00,1.00,1.00
valid_1004_a_1.nii.gz::6,0.00,0.00,0.33,0.66,0.00,0.00,0.00,0.00
valid_1005_a_1.nii.gz::0,1.00,0.66,0.00,0.00,0.33,0.00,0.00,0.00
valid_1005_a_1.nii.gz::1,0.00,0.00,0.66,0.00,0.00,0.00,0.00,0.00
valid_1005_a_1.nii.gz::2,1.00,0.33,0.00,1.00,1.00,0.00,1.00,1.00
valid_1005_a_1.nii.gz::3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
valid_1005_a_1.nii.gz::4,1.00,0.66,0.00,0.33,1.00,0.00,0.00,0.00
valid_1005_a_1.nii.gz::5,1.00,0.33,0.33,1.00,1.00,0.00,1.00,1.00
valid_1005_a_1.nii.gz::6,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
valid_1005_a_1.nii.gz::7,1.00,1.00,0.33,1.00,1.00,0.33,1.00,1.00
valid_1005_b_1.nii.gz::0,1.00,0.00,0.00,1.00,1.00,0.00,1.00,0.00
valid_1005_b_1.nii.gz::1,0.00,1.00,0.66,1.00,0.00,0.00,1.00,0.00
valid_1005_b_1.nii.gz::2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
valid_1005_b_1.nii.gz::3,1.00,1.00,1.00,1.00,1.00,0.00,1.00,1.00
valid_1005_b_1.nii.gz::4,0.00,0.00,0.00,0.00,0.00,0.33,0.00,0.00
valid_1005_b_1.nii.gz::5,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00
valid_1005_b_1.nii.gz::6,0.33,1.00,1.00,1.00,0.00,0.33,0.00,0.00
valid_1006_a_1.nii.gz::0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
valid_1006_a_1.nii.gz::1,0.00,1.00,0.00,1.00,0.00,0.00,0.00,1.00
valid_1006_a_1.nii.gz::2,0.00,0.00,1.00,1.00,1.00,0.00,1.00,0.33
valid_1006_a_1.nii.gz::3,0.00,0.00,0.00,0.66,0.33,0.00,0.00,0.00
valid_1006_a_1.nii.gz::4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
valid_1006_a_1.nii.gz::5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
valid_1006_a_1.nii.gz::6,0.33,0.00,0.00,0.66,0.66,0.33,0.00,0.00
valid_1006_a_1.nii.gz::7,0.00,0.66,0.00,0.00,0.33,0.00,0.66,0.00
valid_1006_b_1.nii.gz::0,1.00,0.00,1.00,0.00,1.00,0.00,1.00,0.00
valid_1006_b_1.nii.gz::1,0.00,0.66,0.33,0.00,0.00,0.00,1.00,0.00
valid_1006_b_1.nii.gz::2,0.00,0.00,0.66,0.33,0.00,0.00,0.00,0.00
valid_1006_b_1.nii.gz::3,0.00,0.00,0.66,0.00,0.33,0.00,0.00,0.00
valid_1006_b_1.nii.gz::4,1.00,0.00,0.66,0.00,1.00,0.00,1.00,1.00
valid_1006_b_1.nii.gz::5,0.00,0.00,0.00,0.66,0.33,0.33,0.33,0.00
valid_1006_b_1.nii.gz::6,1.00,0.00,0.33,1.00,1.00,0.33,1.00,0.00
valid_1006_b_1.nii.gz::7,0.00,0.00,0.00,0.00,0.00,0.66,0.00,0.00
valid_1006_b_1.nii.gz::8,0.00,0.66,0.00,1.00,0.00,0.00,0.66,1.00
valid_1006_c_1.nii.gz::0,0.00,0.00,0.66,0.00,1.00,0.00,0.33,0.00
valid_1006_c_1.nii.gz::1,0.00,0.66,0.00,0.00,1.00,0.00,0.33,0.00
valid_1006_c_1.nii.gz::2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
valid_1006_c_1.nii.gz::3,0.00,0.00,0.33,0.00,0.00,0.66,1.00,0.00
valid_1006_c_1.nii.gz::4,0.00,0.33,0.00,0.33,0.00,0.00,1.00,0.33
valid_1006_c_1.nii.gz::5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
valid_1006_c_1.nii.gz::6,0.00,0.33,0.66,1.00,0.66,0.33,0.00,0.00
valid_1007_a_1.nii.gz::0,1.00,0.33,0.00,0.66,0.33,0.00,0.00,0.66
valid_1007_a_1.nii.gz::1,1.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00
valid_1007_a_1.nii.gz::2,0.33,0.00,1.00,0.00,1.00,0.00,0.66,0.00
valid_1007_a_1.nii.gz::3,1.00,0.00,0.00,0.00,0.00,0.66,0.00,0.00
valid_1007_a_1.nii.gz::4,1.00,0.33,0.00,0.00,0.00,0.33,0.00,0.00
valid_1007_a_1.nii.gz::5,0.00,1.00,0.00,0.33,0.00,0.66,1.00,1.00
valid_1008_a_1.nii.gz::0,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
valid_1008_a_1.nii.gz::1,1.00,0.00,0.00,0.66,0.66,0.00,0.00,0.33
valid_1008_a_1.nii.gz::2,1.00,0.66,0.00,0.00,0.00,0.00,0.00,0.00
valid_1008_a_1.nii.gz::3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.33
valid_1008_a_1.nii.gz::4,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
valid_1009_a_1.nii.gz::0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
valid_1009_a_1.nii.gz::1,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00
valid_1009_a_1.nii.gz::2,1.00,0.00,1.00,0.00,0.00,0.66,0.00,0.00
valid_100_a_1.nii.gz::0,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00
valid_100_a_1.nii.gz::1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
valid_100_a_1.nii.gz::2,1.00,1.00,1.00,1.00,1.00,0.00,1.00,1.00
valid_100_a_1.nii.gz::3,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00
valid_100_a_1.nii.gz::4,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00
valid_100_a_1.nii.gz::5,1.00,1.00,1.00,1.00,1.00,0.33,1.00,1.00
valid_100_a_1.nii.gz::6,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
valid_100_a_1.nii.gz::7,0.00,0.66,0.00,0.00,0.00,0.33,0.00,0.66
valid_1010_a_1.nii.gz::0,1.00,0.33,1.00,1.00,1.00,1.00,1.00,0.00
valid_1010_a_1.nii.gz::1,1.00,0.00,0.00,1.00,1.00,0.66,1.00,1.00
valid_1010_a_1.nii.gz::2,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
valid_1010_a_1.nii.gz::3,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
valid_1011_a_1.nii.gz::0,1.00,0.33,0.33,1.00,0.00,0.66,0.00,0.00
valid_1011_a_1.nii.gz::1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
valid_1011_a_1.nii.gz::2,1.00,0.00,0.00,0.33,0.00,0.33,0.00,0.33
valid_1011_a_1.nii.gz::3,0.00,0.00,0.00,0.00,0.00,0.33,0.00,0.00
valid_1011_a_1.nii.gz::4,1.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00
valid_1011_a_1.nii.gz::5,0.00,0.00,0.33,0.00,0.00,0.00,1.00,0.00
valid_1011_a_1.nii.gz::6,0.00,0.66,0.33,0.33,0.00,0.33,0.00,0.00
valid_1012_a_1.nii.gz::0,1.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00
valid_1012_a_1.nii.gz::1,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
valid_1013_a_1.nii.gz::0,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00
valid_1013_a_1.nii.gz::1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
valid_1013_a_1.nii.gz::2,0.00,0.00,0.00,1.00,0.33,0.00,0.33,0.00
valid_1013_a_1.nii.gz::3,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
valid_1013_a_1.nii.gz::4,0.66,1.00,0.00,0.33,0.66,0.66,1.00,0.00
valid_1013_a_1.nii.gz::5,0.00,0.00,0.00,0.00,0.66,0.00,0.66,0.00
valid_1013_a_1.nii.gz::6,0.00,0.66,0.66,0.00,0.33,0.00,0.00,0.00
valid_1014_a_1.nii.gz::0,0.00,0.33,0.00,1.00,0.00,0.33,0.66,1.00
valid_1014_a_1.nii.gz::1,1.00,0.33,0.66,0.00,1.00,0.33,0.00,0.33
valid_1014_a_1.nii.gz::2,0.00,1.00,0.66,0.00,1.00,1.00,0.00,0.00
valid_1014_a_1.nii.gz::3,0.00,0.66,0.33,0.00,0.33,0.33,0.00,0.00
valid_1014_a_1.nii.gz::4,1.00,0.66,0.00,1.00,0.00,0.33,0.66,0.00
valid_1015_a_1.nii.gz::0,0.00,1.00,0.00,0.66,1.00,0.66,0.00,0.00
valid_1015_a_1.nii.gz::1,0.00,1.00,0.66,0.00,0.00,0.00,0.00,0.00
valid_1015_a_1.nii.gz::2,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
valid_1015_a_1.nii.gz::3,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00
valid_1015_a_1.nii.gz::4,0.00,0.66,0.00,0.00,1.00,0.00,1.00,0.00
valid_1015_a_1.nii.gz::5,1.00,0.00,1.00,0.66,0.00,1.00,1.00,0.00
valid_1015_a_1.nii.gz::6,0.66,0.33,1.00,1.00,1.00,1.00,0.66,1.00
valid_1016_a_1.nii.gz::0,0.33,0.00,0.00,0.66,0.00,0.33,0.33,0.33
valid_1016_a_1.nii.gz::1,1.00,0.00,0.00,1.00,0.00,1.00,1.00,0.00
valid_1016_a_1.nii.gz::2,0.00,0.00,0.00,0.00,0.00,0.33,0.00,0.00
valid_1016_a_1.nii.gz::3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
valid_1016_a_1.nii.gz::4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
valid_1016_a_1.nii.gz::5,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
valid_1016_a_1.nii.gz::6,0.00,0.00,0.33,0.00,0.00,0.00,0.00,0.00
valid_1016_b_1.nii.gz::0,1.00,0.33,0.33,0.00,0.00,0.00,0.00,0.00
valid_1016_b_1.nii.gz::1,1.00,0.00,0.66,0.00,0.33,0.00,0.00,0.00
